who,Text,target,
Emmanuel Macron,"Mesdames Messieurs les ministres, Monsieur le haut commissaire au plan, Mesdames Messieurs les parlementaires, Mesdames et Messieurs en vos grades et qualité, chers amis, merci d'être aujourd'hui à l'Elysée pour ce moment un peu particulier.",other,
Emmanuel Macron,D'abord parce qu'on va essayer de se projeter loin dans un moment où beaucoup nous concourent en quelque sorte à nous faire regarder à côté.,other,
Emmanuel Macron,"Et je pense que c'est d'abord une bonne vertu personnelle, mentale, et c'est aussi très bon pour un pays comme le nôtre.",solution,
Emmanuel Macron,"Merci, parce qu'à travers vos 5 prises de paroles, vous avez illustré des convictions qui sont vos convictions personnelles.",other,
Emmanuel Macron,"Mais vous avez un peu aussi rendu compte de tout le travail qui a été fait par celles et ceux, vous en êtes les contributrices et contributeurs dans cette salle, qui ont préparé depuis des mois cette stratégie, ce travail collectif et donc étudiantes et étudiants, chercheuses, chercheurs, universitaires, responsables d'organisations, de branches professionnelles, syndicales, entrepreneuses, entrepreneurs, investisseurs, parlementaires et évidemment, les ministres qui ont piloté ce travail, et je vous en remercie avec l'ensemble des grands organismes de recherche et de notre politique économique et industrielle.",other,
Emmanuel Macron,"Ce que je vais essayer ici, ce dont je vais essayer de rendre compte, est un peu le fruit de votre travail collectif, de notre travail collectif comme nation.",other,
Emmanuel Macron,Nous sommes confrontés à des défis qui ne sont pas neufs.,problem,
Emmanuel Macron,On les voit poindre depuis maintenant quelques décennies.,problem,
Emmanuel Macron,"Ils sont en train de se consolider, de se raffermir et ils ont en quelque sorte présidé à ce que la France comme l'Europe ont fait ces dernières années, ce qui porte notre conviction collective et ce qui a été encore raffermi et conforté pendant la crise.",problem,
Emmanuel Macron,"Et que le rapport d'ailleurs, que j'avais commandé il y a quelques mois à messieurs BLANCHARD et TIROLE avec un collectif d'économistes, a pu confirmer.",problem,
Emmanuel Macron,"Donc, la planète est confrontée à quelques grands défis inédits dans leur concentration et leur convergence.",problem,
Emmanuel Macron,"Un premier grand défi, vous l'avez tous rappelé, je crois que maintenant, il y a un consensus sur ce sujet, c'est évidemment le défi climatique, environnemental, c'est-à-dire le problème à la fois des dérèglements climatiques et de la raréfaction de la biodiversité.",problem,
Emmanuel Macron,"C'est un défi profond qui change évidemment nos moyens de produire, de produire d'abord de l'énergie, de faire de l'industrie, de nous déplacer, de consommer, de nous alimenter et donc qui nous conduit à complètement repenser nos modes d'organisation collective.",solution,
Emmanuel Macron,"Pour autant, il faut continuer à faire tout ce que je viens de dire, c'est une évidence.",solution,
Emmanuel Macron,"Et il faut d'autant plus le faire que la planète, elle, continue à grandir.",problem,
Emmanuel Macron,"Le deuxième grand défi, il a été aussi éclairé par le plan dans un rapport récent, c'est le défi démographique.",problem,
Emmanuel Macron,Il est colossal.,other,
Emmanuel Macron,"C'était souvent, et ça a été ces dernières décennies, un peu un impensé de nos politiques publiques.",problem,
Emmanuel Macron,"Mais ce défi démographique, il a plusieurs composantes.",problem,
Emmanuel Macron,C'est d'abord l'augmentation du nombre d'habitants sur la planète.,problem,
Emmanuel Macron,"Je ne veux pas ici reconvoquer des thèses malthusiennes qu'on connaît depuis longtemps, mais c'est un fait, quand on a de la ressource naturelle qui se raréfie, d'attention sur différents sujets et différents écosystèmes, on a une planète dont la population croît, mais elle croît, si je puis dire, très différemment.",problem,
Emmanuel Macron,"Et donc, nos sociétés sont confrontées à un vieillissement démographique et dans beaucoup de nos pays, même si la France a longtemps mieux résisté que d'autres à une chute de sa natalité et, à l'inverse, à une explosion démographique dans d'autres pays et donc à la pression des grandes migrations.",problem,
Emmanuel Macron,"Ces deux grands défis, d'ailleurs, se renforcent l'un l'autre, car les défis migratoires trouvent aussi leur source dans les déséquilibres climatiques que certaines régions connaissent aujourd'hui.",problem,
Emmanuel Macron,Tout cela se tient.,other,
Emmanuel Macron,"Mais ce deuxième défi démographique est très important, ce qui le déstabilise là aussi, nos modes d'organisation en société, le temps que nous passons au travail par rapport au temps que nous passons à nous former, puis à vivre plus âgés ensuite, et essayer de vieillir dans les meilleures conditions possibles, le mode de financement de nos modèles sociaux, etc., etc. Et il crée beaucoup de tensions aussi entre différentes régions du monde par les migrations.",problem,
Emmanuel Macron,"Le troisième grand défi que nous sommes tous en train de vivre, c'est le défi des inégalités.",problem,
Emmanuel Macron,Il ne faut pas le négliger.,other,
Emmanuel Macron,"Il est bien pointé par, il y a beaucoup d'économistes qui sont ici qui l'ont montré, au fond, depuis le 18ème siècle, nos sociétés démocratiques reposant sur l'économie sociale de marché avaient une forme de consensus qui était qu'on crée de la valeur, mais il y avait toujours un progrès constant ; nos enfants vivraient mieux que nous.",problem,
Emmanuel Macron,"Ça s'est à peu près constamment vérifié avec l'exception terrible et historique des guerres, mais quelque chose est en train de s'enrayer dans notre système, qui est un dérèglement de l'organisation de notre économie mondiale, l'explosion des déséquilibres, en particulier, au sein de nos économies par deux phénomènes : l'hyper-financiarisation, d'une part, mais peut-être encore plus ces dernières années, l'accélération des technologies numériques.",problem,
Emmanuel Macron,"C'est ce qu'on appelle la digitalisation maintenant qui est un formidable objet d'innovation, mais est aussi un levier d'accélération, en quelque sorte, de l'écartement de notre société avec des modèles comme le nôtre qui sont très protecteurs, et il faut s'en féliciter, j'y reviendrais, mais que nous avons plutôt conçus comme des modèles qui venaient corriger les inégalités qui se forgeaient, là où le système, en quelque sorte, est en train de les produire de plus en plus vite, et écartent les destinées individuelles de plus en plus vite.",problem,
Emmanuel Macron,C'est un vrai défi.,other,
Emmanuel Macron,"Tout cela est en train de créer une série de chocs, des chocs démocratiques dans nos sociétés, liés en quelque sorte au doute que ces crises, ces grands défis sont en train de créer dans nos sociétés quand la manière de produire de s'alimenter est faite de tension permanente.",problem,
Emmanuel Macron,"On le voit bien dans nos sociétés quand on est angoissé sur la manière de vieillir, quand les inégalités sont en train d'augmenter, qu'on ne voit plus les perspectives, on a un doute démocratique qui s'installe ; toutes les sociétés démocratiques sont en train de le vivre.",problem,
Emmanuel Macron,"Nous avons à côté de ça un choc géopolitique qui en est la conséquence parce que quand il y a de la rareté sur les ressources, quand il y a de la concurrence exacerbée sur les modes d'innovation, quand en quelque sorte, ce sont des modèles qui jouent leur survie ou leur hégémonie, ça crée de la tension géopolitique.",problem,
Emmanuel Macron,"Et puis, évidemment, tout ça a aussi créé une forme de choc anthropologique parce que la transformation, la révolution des usages, des usages liés en particulier au numérique, crée un changement profond de notre manière de nous organiser en société, d'imaginer, de vivre les émotions, de communiquer les informations.",problem,
Emmanuel Macron,C'est le monde dans lequel nous vivons.,other,
Emmanuel Macron,"Je le repose là en début parce qu'on ne peut pas penser la France de 2030, l'Europe de 2030, essayer de voir la dynamique qu'on peut prendre sur la décennie si on ne prend pas comme départ ces grandes tendances qui sont là mais qui sont en train de s'accélérer.",solution,
Emmanuel Macron,"Est-ce que la crise que nous venons de vivre, dont nous l'espérons collectivement dont nous sortons, la pandémie de Covid 19 a en quelque sorte remis en cause ces grands défis, ces grandes transformations ?",problem,
Emmanuel Macron,"Non, au contraire.",other,
Emmanuel Macron,Elle les a plutôt confortés.,other,
Emmanuel Macron,"Mais je pense que nous nous devons collectivement essayer de tirer aussi quelques leçons de cette pandémie qui sont importantes, là aussi, pour penser la France de 2030.",solution,
Emmanuel Macron,La pandémie nous a fait toucher du doigt d'abord notre vulnérabilité.,problem,
Emmanuel Macron,"Nous nous sommes rappelés, et c'est très cohérent avec les défis que je viens d'évoquer, que nous appartenions à l'ordre du vivant et donc que quelque chose qui se passe quelque part à 10 000 kilomètres de nous, peut-être entre l'humain et l'animal, peut bloquer totalement la planète et changer la face du monde et notre organisation collective.",problem,
Emmanuel Macron,"Et donc la première leçon que nous devons collectivement tirer de ce qui s'est passé, c'est que nous, en effet, nous sommes éminemment vulnérables.",problem,
Emmanuel Macron,"Et on ne peut pas penser notre projection à 10, 15, 20 ans en quelque sorte, comme si nous n'étions pas dans le vivant, de manière purement technique, comme si nous étions assimilables à des tableaux de chiffres, à des équations, à quelque chose qui est réductible.",problem,
Emmanuel Macron,Nous avons cette vulnérabilité profonde.,other,
Emmanuel Macron,"La deuxième chose, c'est notre dépendance vis-à-vis de l'étranger.",problem,
Emmanuel Macron,"On avait voulu l'oublier parce que nous vivions dans un miracle, mais dont nous avions là aussi un peu oublié la fragilité, c'était que le monde était ouvert et que tout circulait parfaitement et librement.",problem,
Emmanuel Macron,"Je suis heureux de vous retrouver tous avec des masques aujourd'hui, je serai encore plus heureux le jour où vous n'en aurez plus, ça voudra dire qu'on sera totalement débarrassés de l'épidémie.",solution,
Emmanuel Macron,"Je n'oublie pas qu'il y a 18 mois, nous étions tous soumis au manque de masques.",problem,
Emmanuel Macron,"Personne ne pensait qu'on pourrait manquer de masques, c'était l'une des choses qui avait le moins de valeur ajoutée.",problem,
Emmanuel Macron,"Et d'ailleurs, nous en avions collectivement, implicitement, parce que ça n'a jamais été un choix assumé de la nation, on en avait délégué la production à des pays qui produisaient à beaucoup moins, à beaucoup plus bas coût que nous en disant “Ce n'est pas important, on en trouvera toujours.” Dépendance et expérience de la dépendance qui peut être dramatique parce que nous avons vu, à ce moment-là, quand il y a de la dépendance et qu'on se retrouve dans des situations où il n'y a plus de coopération, c'est le drame.",problem,
Emmanuel Macron,"Et donc on ne peut plus penser nos économies, nos systèmes de production, comme si tout était écrit pour que ça aille bien en toutes circonstances.",problem,
Emmanuel Macron,"Nous devons donc tirer cette leçon aussi de la crise qui est que la dépendance choisie et relative est une chose, c'est des termes de la coopération ; mais on doit rebâtir les termes d'une indépendance productive, française et européenne parce que je ne suis pas en train de dire qu'il faudrait tous se mettre à tout reproduire en France.",solution,
Emmanuel Macron,Nous ne saurions pas le faire.,other,
Emmanuel Macron,"Enfin il faut qu'au niveau de l'Europe, nous sachions reproduire ce dont nous avons besoin pour aujourd'hui et pour demain, deuxième leçon de la crise qui n'était pas un immédiat.",solution,
Emmanuel Macron,"Troisième leçon de la crise, c'est quand même la force du modèle éducatif et social français.",solution,
Emmanuel Macron,On a tenu parce que la nation a décidé d'investir pour être solidaire.,solution,
